"元";192;4;"教育漢字 (kyōiku kanji)";"儿";"ゲン, ガン ";"もと ";"ちか, はじめ, はる, ゆき, よし ";"beginning, former time, origin";83;"gen, gan ";"moto "
"兄";1219;5;"教育漢字 (kyōiku kanji)";"儿";"ケイ, キョウ ";"あに ";"え, せ, よし ";"elder brother, big brother";84;"kei, kyou ";"ani "
"充";949;6;"常用漢字 (jōyō kanji)";"儿";"ジュウ ";"あ.てる, み.たす ";"あつ, のぶ, まさ, みち, みつ, よし ";"allot, fill";85;"juu ";"a.teru, mi.tasu "
"兆";1174;6;"教育漢字 (kyōiku kanji)";"儿";"チョウ ";"きざ.す, きざ.し ";"null";"portent, 10**12, trillion, sign, omen, symptoms";86;"chou ";"kiza.su, kiza.shi "
"先";173;6;"教育漢字 (kyōiku kanji)";"儿";"セン ";"さき, ま.ず ";"ぽん ";"before, ahead, previous, future, precedence";87;"sen ";"saki, ma.zu "
"光";527;6;"教育漢字 (kyōiku kanji)";"儿";"コウ ";"ひか.る, ひかり ";"あき, あきら, こお, てる, ひこ, み, みつ ";"ray, light";88;"kou ";"hika.ru, hikari "
"克";1333;7;"常用漢字 (jōyō kanji)";"儿";"コク ";"か.つ ";"かつ, まさる, よし ";"overcome, kindly, skillfully";89;"koku ";"ka.tsu "
"免";1080;8;"常用漢字 (jōyō kanji)";"儿";"メン ";"まぬか.れる, まぬが.れる ";"め ";"excuse, dismissal";90;"men ";"manuka.reru, manuga.reru "
"児";679;7;"教育漢字 (kyōiku kanji)";"儿";"ジ, ニ, ゲイ ";"こ, -こ, -っこ ";"る ";"newborn babe, child, young of animals";91;"ji, ni, gei ";"ko, -ko, -kko "
"兔";9999;8;"表外漢字 (hyōgai kanji)";"儿";"ト, ツ ";"うさぎ ";"null";"rabbit, hare";92;"to, tsu ";"usagi "
"党";39;10;"教育漢字 (kyōiku kanji)";"儿";"トウ ";"なかま, むら ";"null";"party, faction, clique";93;"tou ";"nakama, mura "
"兜";2034;11;"人名用漢字 (jinmeiyō kanji)";"儿";"トウ, ト ";"かぶと ";"null";"helmet, head piece";94;"tou, to ";"kabuto "
